question,reference_answer,answer,score,dataset,dataset_num,soal_num
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,you create a list of nodes that had a head and a top pointer and the functions are basically the same substituting pop and push with enqueue and dequeue,3.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,each element of a queue can be allocated in the nodes of an linked list new elements should be added to the head of the list with each dequeued element coming off the tail,5.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,linked list checking for front and rear keep enqueueing elements until front equal to rear 1,3.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,implement the operation dequeue as the list operation remove1and the operation getfrontqueuefrontas the list operation retrieve1 queuefront,4.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,you can use list to represent the items in a queue,1.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,by creating and adding nodes at the end of the list and removing the nodes from the beginning of the list,5.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,throw in data at the head and take it out at the tail,4.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,by making the head of the list the beginning of the queue and the last listed item the insertion point of the queue,4.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,use a linked list with 2 pointers one to the front and one to the back as long as back equals front the queue is not empty,4.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,a linked list with stack principles the queue s top element is the element that is always being removed first must use nodes to contain each element with a pointer to the top element which also could be called the head pointer,3.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,have a pointer to the last element in the list and then use enqueue to insert items there link the first and last elements together to dequeue the list,3.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,check if list is empty and add elements to the list,2.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,implement a linked list that only allows nodes to be added to the tail and can only be retrieved from the head,4.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,utilizing a front pointer and a back pointer the front poiner and back pointer points to the first item into the queue as you add items the front remains the same but the back poiner next points to the new item and the new item is assigned to become the new back pointer,4.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,remove the first element and reference the second element as the new head of the list,3.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,you use the first element in the list as the remove point for the queue and insert items at the end of the list,5.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,make a linked list and add on to the front and delete from the back keep track of both to do so,4.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,by implementing a list in which a tail pointer points to the item most recently inserted onto the back of the list and a head pointer which points to the item least recently inserted onto the list also items can only be removed from the front of the list and can only be added to the back of the list,5.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,a list can have unlimited elements in it you can push a node onto the end of the list and pop the one in the front,5.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,theoretically you could do it two ways one of which uses more processing power and memory no larger than the queue is ever at when full and the other which uses almost infinite memory the more practical method would be two place the items in an array and remove the item in position one of the array after which you can shift the array and add another element if required the other option which can use infinite memory when used for long term queues such as job scheduling that goes nonstop for extended periods that is to implement an array and add the items read item one raise your counter value to two ecetera and continue adding more elements to the array the downside to this method is after you use element one it is still in memory or im crazy who knows,2.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,enqueue to the end of the linked list dequeue items from the beginningheadof the list,5.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,temp implies next equals null iffrontrearimplies next equals temp else front equals temp rear equals temp,3.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,your queue storage class has a list and for enqueue you add the item to the end of the list and for dequeue you return the first item in the list,4.5,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,you would have your list and add a back pointer so that your program knows where the end is,4.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,create a node with the input data continue to add to the list when dequeueing get the first elements data and set the next element in the list as the new first element,4.0,sag,sag-10,10
How can you implement a queue with a list?,keep the rear of the queue pointing to the tail of the linked list so the enqueue operation is done at the end of the list and keep the front of the queue pointing to the head of the linked list so the dequeue operation is done at the beginning of the list,fairly easy singly linked list with a pointer to the head and tail of hte list deque first item in que create temp pointer to next element delete head and then make head the temporary pointer enque new item use pointer to end of list add a new item to the next item of the tail and make the tail the next item of the current tail,4.5,sag,sag-10,10
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,have the head of the list be the last item added and a push just adds a new head,4.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,you implement a list in which the head pointer points to the element most recently pushed onto the list and the pop function changes the head pointer to point to the next to last element in the list and removes the element head pointer previously pointed to,5.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,using linked list you are pushing the node that contains each int to the stack until you get to the end of your linked list,2.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,create a node based list that points to the next list item down,1.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,have a linked list and for each push add an item onto beginning of the list and for each pop remove the first element in the list,5.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,use the add function with a list as the beginning of the stack and remove for pop,4.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,use the head as the top of the stack only modify the head when you push or pop push would add a new item to the head pop would remove the item from the head,4.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,make a list make the bottom the head add on the end and make the end top,3.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,you can add an element to the end of the linked list and update a pointer called top each time you modify the list,3.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,this is the implementation of the stack using single linked list the operations performed on a stack are 1push this is the function which is for insertionpushingof an element into stack it is similar to the insertion of an element at the end of a single linked list see the function insert end in the program for operations of single linked list 2pop this is the function which is for deletionpopping upof an element from the stack it is similar to the deletion of an element at the end of a single linked list see the function delete end in the program for operations of single linked list 3stack display this is the function which is for displaying the elements of a stack,4.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,using nodes to keep track of the head of the stack then using push and pop to create the stack as needed,4.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,use head as the top and push and pop nodes from the head,4.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,you implement a stack with a list by changing the pointer to the first element of the list to the new item and move the pointer from the top of the stack to the next item when removing an item,4.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,declare a pointer that points to the head of the linked list only add and remove nodes from the beginning of the list,5.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,creating a linked list add an element to the top of the stack when pushing and deleting an element when popping,4.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,you dynamicly create space as the stack grows the stack can be as long as you need,2.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,a singly linked list is already a lot like a stack it just depends on the way you address moving the head,3.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,keep a pointer pointing to the last element entered at the front of the array and move the pointer back when you delete an element,2.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,using pointer,1.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,the top is the first pointer,3.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,using a linked list is one way to implement a stack so that it can handle essentially any number of elements it is usually convenient to put a data structure in its own module thus you will want to create files stack h and a stack c,2.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,elements are only inserted and removed from the head of the list there is no header node or current pointer,4.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,you can implement a stack using arrays or and linked list by the use of pointers that point elementnodeto the next element in the stack by the use of pointers the stack becomes a linked list,2.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,adding the element to the end of the list so that it links to the element before it when popping the element it takes the last element in the list and sets the previous one as the end of the list,3.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,create a new list pop elements in the stack as needed push the stack to remove items unless the stack is empty the top item is at the head of the list the last item is at the end,4.5,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,use a linked list and keep track of a pointer that points to the first item,4.0,sag,sag-12,12
How can you implement a stack with a list?,keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,a singly linked list can already be easily used for lifo data storage members of a stack can simply be pushed and popped from a list the first item in will be the last out,4.5,sag,sag-12,12
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,first attaching the elements from the node to be deleting to alternate nodes and then deleting that node delete node,3.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,you replace the node with the largest element of its left subtree or replace it with the smallest element of the right subtree,5.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,must delete the information that the node containsto free up memory or garbage collectand also delete the pointerin that node s parentthat points to the node you wish to delete,2.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,if you delete a node from a tree you have to link that nodes parents to the children of that node,3.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,traverse the tree and find the node if the node has no children simply delete it otherwise set the node s data equal to the data of one of its children then set the pointer for that child to null,3.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,to delete the node you would have to link the children nodes that are connected to the node to be deleted to the remaining nodes of the tree in such a way that nodes on the right of the parent node are larger than the parent and nodes on the left of the parent node are smaller,4.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,the way you delete a node from a binary search tree is first you have take the root and then see the nodes that are coming from the root and delete the nodes and set the root to null,2.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,you search the tree for the node using recursion when you find the node you determine whether it is a leaf or a internal node if it is a leaf you just delete it and set the parent pointer to that node to null if it is a node you replace the node with either of the children nodes,4.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,if the node is a leaf it can simply be deallocated or deleted from memory and its parent s reference to it changed to null if the node has a single child the pointer to it should be made to point to its child before deleting the node should the node have two children the easiest solution may be to copy the node s entire subtree to a new array or tree delete the node and all descendants then add the elements taken from the subtree back into the main tree,4.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,if the node is a leaf you set it is parent s pointer to null if the node is in the tree you must replace the node with one in the tree either the largest in the left of the tree or the smallest in the right of the tree this can be done recursively if needed,5.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,you must first traverse the tree to find the appropriate value then you must make sure that the node is a leaf node if it is then you can delete the pointer to that specific node,3.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,set the nodes to null where that it does not point to anything and the use the delete opertator to clear space from memory,1.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,by searching down the tree until you find the node and replacing the link to that node with the greatest child node on the left subtree or the least child node on the right subtree,4.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,you remove the element from the tree and move the next highest element from the left into its place,4.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,link the to be deleted s left child to the to be deleted s parent s left child pointer,4.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,pointer to the child and delete it has 2 children set the node to the child and delete it the node to th middle will then take its place,3.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,if it has no children you just delete it if it only has one child just replace the node with whichever child it has if it has both children replace it with one of its children and send the other child down along the other side of the new node,4.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,it all depends on where the node is located if its a child it can just be deleted but for a node inside the tree it must be replaced with another node that works in its place,3.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,in a binary search tree you must first establish a proper replacement for the node you are about to delete usually a child from the soon to be deleted node once that replacement node has been found you simply reassign it to where the node that is going to be deleted is after the deleted node has been usurped you remove the deleted node from memory so it may be used again,4.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,if the node is a leaf just set it is parent s pointer to null and delete it if it has a single child set the parent s pointer to the child and delete if it has two children set the node to one of the middle children and remove that child from its previous position as a leafrightmost child of the left subtree or leftmost child of the right subtree,5.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,the deletion of a node depends upon if it has children and if it is an avl binary search tree assuming it is not an avl tree and the node being deleted has no children you just set its pointer to null if it has a left child or a right child exclusively that child replaces the deleted node if it has two children the left most child of the right sub treeor right most child of the left subtreewill replace it,5.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,delete node,1.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,if the node has no children delete it right away otherwise put either the furthest right node on the left side or the furthest left node on the right side in that place and perform a the above on that node to guarantee that it is children get handled properly,5.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,you cannot delete a node because that can cause a node to have more than 2 children,1.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,if root set root to null else if deleting right leaf set rightptr of parent node to null else if deleting left leaf set leftptr of parent node to null else if deleting a left or right subtree child node set the max leaf child in the left subtree as the new child node,4.5,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,you traverse the tree till you find the node you are wanting to delete if the node has no children you delete it if the node has children before you delete you find the left most of its children and attach it to the root then you can delete the node,4.0,sag,sag-14,14
How do you delete a node from a binary search tree?,find the node then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree,create a temp node set temp s values to the node after head or null in the case of only head node in the list set head equal to temp delete temp,2.0,sag,sag-14,14
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,the compiler can ignore the inline qualifier and typically does so for all but the smallest functions,3.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,compiler ignores inline qualifier,2.5,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,it generates a copy of the function if it is needed again,3.5,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,compiler generate a copy of the function s code in placewhen appropriateto avoid a function call,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,instead of calling the function every time it is invoked the compiler will replace the function call with a copy of the function body,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,expands the function into the program,4.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,it generates a copy of the functions code in place to avoid a function call,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,the function call will be replaced by the code that was defined in the inline function,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,the complier includes copies of inline functions instead of making function calls but usually only with very small functions,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,it generates a copy of the function s coding which eliminates calling the function,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,if the function is small enough it will expand it but it will run faster as it will avoid making so many calls to the function,4.5,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,inline functions are copied in place instead of being referenced,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,it treats them as the same function,2.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,ignores the inline qualifier and typically does so for all but the smallest functions,3.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,it replaces all instances of that function call with the inline code itself resulting in longer but faster programs,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,when the program compiles it will copy the function inplace avoiding a function call,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,it expands a small function out making your code longer but also makes it run faster,4.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,you declare your inline function in the header or before your int main you then can call that function at anytime in your main program quickly and easily,2.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,placing the qualifier inline before a function s return type in the function definition advises the compiler to generate a copy of the function s code in place to avoid a function call,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,the inline keyword advises the compiler to copy the function s code in place to avoid function calls however the compiler can and typically does ignore the inline qualifier for all but the smallest functions,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,when the compiler inline expands a function call the function s code gets inserted into the caller s code streamconceptually similar to what happens with a define macro this can depending on a zillion other things improve performance because the optimizer can procedurally integrate the called code optimize the called code into the caller,4.5,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,it expands the function s definition in that place once the functions is called you can use it as many times as you need the compiler just expands on the function,4.5,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,for inline functions the compiler creates a copy of the function s code in place so it does not have to make a function call and add to the function call stack,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,the function is not treated as a separate unit like other functions,3.5,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,it generates a copy of the function s code by by inserting it in the program,4.5,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,multiple copies of the function code are inserted into the program making it bigger,4.5,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,tells the compiler to make a copy of function s code in place to avoid a function call it typically ignores it except for the smallest functions,5.0,sag,sag-15,15
How does the compiler handle inline functions?,it makes a copy of the function code in every place where a function call is made,not answered,0.0,sag,sag-15,15
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,olog nin balanced trees,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,this is on the runtime order of lognwhere n is the number of nodes in the binary tree,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,at most its equivalent to the height of the tree,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,logn,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,it takes as many comparisons as the number of levels of the binary search tree it only compares one number at each level,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,depends on what half of the tree and the levels you have,3.5,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,log n comparisons,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,n to the power of kminus 1 where k is the height of the tree,1.5,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,2 way key comparison,1.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,olog n,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,it takes h comparisons where h is the height of the tree,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,n minus 1 divided by 2 is the algorithm to compare and find an element,2.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,nlogn,2.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,at the minimum lognor log2 at the maximum n searches where n is the number of nodes,4.5,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,at most it takes one less comparisons than the tree s height in big o notation it takes olog ncomparisons if the tree is balanced,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,in a binary search tree of size n it takes logncomparisons to find a specified element,5.0,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,it takes at most 3 comparisons to find and element in a binary search tree,1.5,sag,sag-16,16
How many comparisons does it take to find an element in a binary search tree?,the height of the treeor log of the number of elements in the tree,lognwhere n equals the number of nodes,5.0,sag,sag-16,16
How many constructors can be created for a class?,unlimited number,as many as you want as long as they each have a unique argument list,5.0,sag,sag-17,17
How many constructors can be created for a class?,unlimited number,as many as you want with different parameters,5.0,sag,sag-17,17
How many constructors can be created for a class?,unlimited number,as many as you want,5.0,sag,sag-17,17
How many constructors can be created for a class?,unlimited number,as many as needed,5.0,sag,sag-17,17
How many constructors can be created for a class?,unlimited number,as many as wanted or needed,5.0,sag,sag-17,17
How many constructors can be created for a class?,unlimited number,by default just one but they may be overloaded to create as many constructors as necessary,5.0,sag,sag-17,17
How many constructors can be created for a class?,unlimited number,you can overload constructors as you need,5.0,sag,sag-17,17
How many constructors can be created for a class?,unlimited number,in c plus plus the constructor can be overloaded in that there can be more than one constructor for a class each having different parameters,5.0,sag,sag-17,17
