question,reference_answer,answer,score,dataset,dataset_num
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,a static array is allocated when the program starts and is freed when the program exits but has limited scope while an array that is not declared static is allocated and freed when it comes into and out of scope,5.0,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,all elements are initialized to zero if not explicitly initialized this does not happen for automatic local arrays,4.5,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,static cannot be changed,3.0,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,arrays that are static remain the same size throughout the program execution,4.0,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,a static member prevents naming conflictsnot put into global namespacewhile allowing for information hidingprivate public,3.0,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,an array declared as static is available from beginning of program to end one with o static declaration disappears if it is not accessed within the right scope,4.5,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,a static array exists in memory until the program terminates whereas an automaticor normalarray is removed when the function that created it terminates,5.0,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,when we declare it static the array is not destroyed after the function is over when an array is not declared as static the array is created and initialized every time a function calls it,5.0,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,a static array has pre runtime size and that size cannot be changed a dynamic array gets its size at runtime,3.0,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,a static array will only be initilized once a non static array will be re initilized once the program reaches the initilization line again,5.0,sag,sag-56
"What is the difference between an array declared as static, and one that is not?",the arrays declared as static live throughout the life of the program that is they are initialized only once when the function that declares the array it is first called,only constants can be used to declare the size of automatic and static arrays exists for the duration of the program is initialized when its declaration is first encountered all elements are initialized to zero if not explicitly initialized,5.0,sag,sag-56
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,all of them,3.5,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,just the first one at least,2.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,all dimensions but the first,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,when passingin maina multidimensional array to a function no dimensions need be specified,2.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,the size of the first dimension does not need to be specified but all other dimensions do,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,at least 2 but it should always equal the number of dimensions that the argument is expecting like blah will require 4 dimensional array input blah will require a 3 dimensional array blah will require a 2 dimensional array,3.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,all dimensions excluding the first one,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,the first needs to be specified by size and the rest need only be statedfirst like this 3 then,3.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,none just pass the array name,2.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,at least 2 depending on how many arrays are being used,2.5,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,two paramaters the array and how many columns arraya 3,4.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,all subsequent dimensions after the first dimension first is not needed to be specified,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,every dimension after the first,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,the size of the first dimension can be omitted same as a regular array however for every dimension outside the first the size of those dimensions must be specified when passed for example a multi dimensional array of 2 4 6 with the name multiarray would be passed as multiarray 4 6 2,4.5,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,when passing a multi dimensional array all dimensions must be specified except for the first dimension,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,all but the first,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,the first dimension is not required however the subsequent dimensionsare needed for the compiler,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,all subsequent dimensions after the first one,5.0,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,multi dimensional arrays are accessed using more than 1 index one for each dimension at least,3.5,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,both,2.5,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,it depends what parameters you are passing in a multidimensional a multideminsional can have more than two dimensions,3.5,sag,sag-18
How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all the dimensions except the first one,one less than the number of dimensions the array contains,4.5,sag,sag-18
Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,compilation error,1.0,sag,sag-22
Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,runtime error,5.0,sag,sag-22
Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,it will not cause a compilation error it will either give a run time error or will give the value at that actual location in memory causing a logic error,5.0,sag,sag-22
Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,using an index outside the bounds of the array generates a run time error,5.0,sag,sag-22
Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,this is a run time error the program will compile and execute so these errors can be difficult to debug,5.0,sag,sag-22
Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,run time error,5.0,sag,sag-22
Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,generates a compilation error the compiler will complain that the variable you are referring to was never declared,1.0,sag,sag-22
Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,run time error,its a run time error,5.0,sag,sag-22
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,a bi dimensional or two dimensional array is stored in a row column matrix where the first index indicates the row and the second indicates the column this means that when array elements are accessed in the order in which they are actually stored in memory the right index changes faster than the left,4.5,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,usually it is by rows then followed by the column but it is up to the programmer to determine how values are stored in bi dimensional arrays,2.5,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,by rows then columns,4.5,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,by rows,5.0,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,both they are stored in seperate sections,2.5,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,m by n by row column,4.0,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,rows,5.0,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,by dimensional arrays are stored by row,5.0,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,bi dimensional arrays are stored by rows,5.0,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,they are stored in memory in rows,5.0,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,multi dimensional arrays are stored in memory by rows,5.0,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,x by y is row by column so x is rows and y is columns since the length of the row is not needed when passing the array to the function this leads me to believe that bi dimensional arrays are stored by rows at a time,5.0,sag,sag-4
"How are bi-dimensional arrays stored in memory, by rows or by columns?",by rows,by column,1.0,sag,sag-4
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,assume the first number is sorted then move down the list and insert the numbers you come across into the corresponding place on the sorted side of the list,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,insertion sort removes an element from the data and inserts it at the correct position in the already sorted list,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,insertion sort is a simple sorting algorithm a comparison sort in which the sorted arrayor listis built one entry at a time,4.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,insertion sort divides the list into sorted and unsorted regions then takes each item from the unsorted region and inserts it into its correct order in the sorted region,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,the sorted array or list is built one entry at a time,3.5,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,it goes through the list only once picking each integer and putting it in its desired position then continuing,4.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,insertion sort is an algorithm where the first element of the array is in the sorted list all the other pick one by one and taken from the unsorted array to the sorted array,4.5,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,every iteration of an insertion sort takes away an element from the input data inserting it at the right position in the sorted list,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,insertion sort takes each entitity of an unsorted array in order and sorts it into the correct position between the entities it has sorted,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,compare two numbers at a time and swap until the entire list is sorted,2.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,take a number and choose a pivot point and insert the number in the correct position from the pivot point,3.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,a comparison sort in which the sorted array is built one entry at a time,4.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,insertion sort progresses through a list of elements and determines where the next element should be inserted into an already sorted array starting with sorting and using the first two elements,4.5,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,have a marker and sort everything to the left of the value for every new value when moving to the right,3.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,insertion sort is were after k iterations the first k items in the array are sorted it take the k plus 1 item and inserts it into the correct position in the already sorted k elements,4.5,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,it starts with the second element and checks it to see if it is less than the elementsto the left of it and if it is it inserts it into its corrected position,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,starting at the beginning of an array take each element in order and place it in it is correct position relative to all previously sorted elements,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,it takes the second element and swaps it with the 1st if it is less and keeps it there if its larger then it goes to the third element and inserts it in the right places with respect to the first 2 elements and so on,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,you take each element and insert it in the correct position with respect to all the elements before it,5.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,insert the item into its proper position by shifting larger sorted array values to the right,3.0,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,looking at the 2nd element move forward and place the element in the correct spot,4.5,sag,sag-19
"In one sentence, what is the main idea implemented by insertion sort?",taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,the insertion sort creates a new array and inserts each item in its place with respect to the new array,4.0,sag,sag-19
What are the main advantages associated with object-oriented programming?,abstraction and reusability,existing classes can be reused program maintenance and verification are easier,3.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,data abstraction and control it is possible to isolate elements from other elements a lot easier and prevent tampering of data,3.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,1 existing classes can be reused 2 program maintenance and verification are easier,3.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,one of the main advantages is you can hide inner details a technique known by encapsulation objects combine the data and operations but you cannot see how it works another advantage is you can reuse classes that have been defined earlier in the program a method known as inheritance finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism,5.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,the main advantages to object oriented programming are that existing classes can be reused and program maintenance and verification are easier,3.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish,3.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,this type of programming is more flexible making it easier to add and modify the program it is also a type of a fail safe program you check each individual module this eliminates redundant code and makes the program easier to read for other programmers when debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program,5.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,coding and debugging programs are usually easier as either the compiler will specify the object that is working incorrectly or the function an object was assigned to will be easier to identify the code itself also looks more organized and is easier to read and will help to avoid redundant coding post programming maintenance is also easier also modules can be reused several times in other programs without too much hassle abstraction is the art of breaking down one big problem into smaller simpler problems and solving them many of the smaller problems are shared between unique complex problems and creating modules to these solve these smaller repeated problems can save time when you encounter them again,5.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,existing classes can be feused program maintenance and verification are easier,3.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,using different modules allows for easier debugging,2.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,modularability the ability to reuse parts of the program later in another program sometimes with completely different goals for the program also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code also allows you to use inheritance and polymorphism,4.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,re usability and ease of maintenance,4.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,existing classes can be reused and program maintenance and verification are easier,3.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,encapsulation objects use operations without knowing how the operation works inheritance cuts redundancy by reusing earlier classes polymorphism objects select the correct operation to use in the situation,4.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,they make it easier to reuse and adapt previously written code and they separate complex programs into smaller easier to understand classes,4.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,modular reusable code allowing faster deployment of solutions and a more general view of a solution,4.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,variables can remain private the code is easily modified and reusable as well as easily implemented not to mention easier to read and follow along as an observer,4.5,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,reusable components extensibility maintainability it reduces large problems into smaller more manageable problems,4.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,the main advantages to object oriented programming is data abstraction easier maintenance and re usability,5.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,easier to debugg reusability,3.0,sag,sag-25
What are the main advantages associated with object-oriented programming?,abstraction and reusability,object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once the classes all hold attrubutes that affect the object,1.0,sag,sag-25
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,it finds the minimum element in the array and swaps it with the first element then repeats this step swapping the minimum element with nth positions in the array,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,find the minimum value in the list swap it with the first element in the list the find the second largest and swap it with the second element in the array continue like this until the array is sorted,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,it runs through and finds the lowestor highestvalue and puts it in its desired position,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,the main idea behind selection sort is to take the least variable from the right and put it directly to the left,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,selection sort searches the whole array for the largest item and puts it at the end of the array then searches for the second largest item and puts it at the second to last spot and so on,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,finds the smallest element and places in 1st position then the process is repeated on the rest of the array,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,to put the biggest element at the end of the list and place the next highest element behind it and so on,3.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,selection sort finds the smallest number left unsorted in an array and puts it at the end of what it has sorted,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,selection sort is an algorithm that selects the larges item the array and puts it in its place then select the next largest until the array is sorted,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,finds the minimum value and swap it with the value in the first position,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,find the lowest value and place it in the front of the list and swap it with that value continue moving right,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,select the smallest number in the list and move it to the front of the list and then advance to the next number,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,find the lowest unsorted value in the array and place it at the current positionstarting at the first element in the arrayand advance the current position by one,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,select the minimum number from the array and put it in the current position then move on,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,find the lowest value and place it at the front then find the next lowest and place it in front of the last value etc,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,selection sort finds the minimum value in the list swaps it with the first value in the list and repeats throughout the list,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,searches an array for the largest or the smallest element and is moved out to the front of the array then it will search for the next largest or the smallest element to move out to the front,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,the sort finds the largest item and places it at the end then then next largest is found and placed next to last continue until there is only one number left this is the beginning of the sorted array,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,the selection sort chooses the largest or smallest value in an unsorted list and creates a new list using the selection depending on how it is sorted,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,find the smallest value in the list and make it the first element then find the smallest value of the leftover list and make it the first element of the leftover list and continue until the list is sorted,5.0,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,cycle through the unsorted list place the minimum in the next slot in the sorted list and repeat,4.5,sag,sag-20
"In one sentence, what is the main idea implemented by selection sort?",taking one array element at a time from left to right it identifies the minimum from the remaining elements and swaps it with the current element,selects the minimum from the remaining elements of the array and palces the miminum in the current position and moves to the next position,5.0,sag,sag-20
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,n operations the best case scenario is when all the numbers are in increasing order,5.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,thetanthe best case senario is that everything is already sorted,4.5,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,insertion sort will take n minus 1 operations if the array is in reverse order,4.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,1 where there is a list of two ints and only one must be moved,2.5,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,n operations where n is the number of items,4.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,best case 1 worst case n,2.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,it will donoperations wherenis the number of elements in the array best case is when all the elements are already sorted,5.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,insertion sort is onand performs n minus 1 operations in the best case scenario which is when the list or array is already sorted,4.5,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,the best case is if it only has to look through the list once the best case scenario is when it goes through the list and does not have to make any changesthe list is already sorted,4.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,n minus 1 the best case is when the array is already sorted,4.5,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,best case would be onor n minus 1 because that is what it takes to scan the array and make one swap the array would then be sorted and would take only 1 operation,4.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,the best case scenario for insertion sort is a list that is already sorted the number of operations would be the same as the number of elements,5.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,best case is n while the worst case is n factorial,3.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,insertion sort will make zero operationsand length 1 comparisonsin the best case scenario that is when the array its given is already in order,3.5,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,in the best case scenario of an already sorted list insertion sort will progress once through the list so the number of operations is directly proportional to the number of elements in the list also noted as onin big o notation,5.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,n number of times where n equals the number of elements in the list best case scenario is that the elements in the list are already sorted,5.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,best case is all elements sorted n minus 1,4.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,the number of operations for insertions sort under best case is nn minus 1divided by 2 the best case for insertion sort is on a sorted list where it runs is on,3.0,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,very simplistic it moves one element from the list by one and inserting them in their correct position into a new slot then starting over best case is01,2.5,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,it could be considered that having only one item would be the easiest to sort but this could also be a trivial result as nothing is moved having two items allows the algorithm to sort the items into the correct order,2.5,sag,sag-69
"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",nthe length of the arrayoperations achieved for a sorted array,on,3.5,sag,sag-69
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,the base case for a recursive implementation of merge sort is one,5.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,the best case is the same as the worst case on log nfor a recursive merge sort,2.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,n multiplied by logn,2.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,a list size of 1 where it is already sorted,5.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,if the array length is less than or equal to 1 then that array is returned to the other array and merged together,4.5,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,when there is only one element in the array or when the starting element in the array is the same as the ending element,4.5,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,the array has one element,5.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,ifright is greater than leftmid equalsright plus leftdivided by 2 m sortnumbers temp left mid m sortnumbers temp mid plus 1 right mergenumbers temp left mid plus 1 right,2.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,the base case for a recursive implementation of merge sort is when the sequence being passed to merge sort has less than 2 elements,5.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,if the array being sorted has 0 or 1 elements,4.5,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,the sequence of numbers has zero or one elements,5.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,the base case is when the length of the current array is 1,5.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,tnequals 0 if n is less than 2,4.0,sag,sag-51
What is the base case for a recursive implementation of merge sort?,when the size of the array to be sorted is 1or 2,there is one object in the split array to sort,5.0,sag,sag-51
