question,reference_answer,answer,normalized_score,dataset_num,predicted_score_0_True,predicted_score_0_False,predicted_score_1_True,predicted_score_1_False,predicted_score_2_True,predicted_score_2_False
"Apa yang anda ketahui mengenai Cristiano Ronaldo? (lahir, kebangsaan, klub saat ini, klub sebelum, nomor punggung dan sebutannya) ",cristiano ronaldo lahir di portugal 5 februari 1985 cristiano ronaldo dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah saat ini ia bermain untuk tim spanyol real madrid dan untuk tim nasional portugal sebelunya ia pernah bermain di sporting lisboa dan manchester united cristiano ronaldo kerap bernomor punggung 7 hingga mendapat sebutanan cr7,cristiano ronaldo adalah pemain sepakbola berasal dari tempat yang jauh dari indonesia yang sekarang ada di klub sepak bola baru karena dia keluar dari klub sepakbolanya yang lama dengan nomor punggung yang bergonta ganti seperti nomor ponsel pacar saya dan dia biasanya disebut pemain terganteng tapi masih lebih ganteng saya daripada dia,0.08,analisis_essay-16,0.44072857,0.5894727,0.39605507,-0.0029774979,0.24578758,0.121493556
Sebutkan dan jelaskan secara singkat 4 jenis pemain yang ada dalam sepak bola. ,goal keeper penjaga gawang merupakan pemain sepak bola untuk menangkap membendung bola sebelum masuk ke gawang defender bertugas untuk melindungi kiper saat lawan menguasai bola mencegah serangan lawan dan memblok tembakan pemain lawan gelandang adalah pemain yang membawa bola hingga ke depan saat melakukan serangan dan mencegah serangan lawan sampai ke daerah pertahanan peyerang forwards adalah pemain yang bertugas mencetak gol dan membobol pertahanan lawan dibutuhkan kelincahan kecepatan akurasi tembakan yang baik,penyerang adalah seorang pemain yang berada di paling depan di area lawan dan bertujuan untuk mencetak gol gelandang adalah seorang pemain yang berada di area tengah tugasnya adalah memberikan bola untuk penyerang membantu pertahanan dan bisa juga mencetak gol bek adalah seorang pemain yang berada di garis pertahanan dan tugasnya adalah melindungi gawang agar tidak kemasukan kiper adalah pemain yang menjaga gawang dan mencegah terjadinya gol,0.73,analisis_essay-17,0.76267767,0.7468724,0.66594225,-0.26978335,0.66632295,0.07048906
Sebutkan dan jelaskan secara singkat 4 jenis pemain yang ada dalam sepak bola. ,goal keeper penjaga gawang merupakan pemain sepak bola untuk menangkap membendung bola sebelum masuk ke gawang defender bertugas untuk melindungi kiper saat lawan menguasai bola mencegah serangan lawan dan memblok tembakan pemain lawan gelandang adalah pemain yang membawa bola hingga ke depan saat melakukan serangan dan mencegah serangan lawan sampai ke daerah pertahanan peyerang forwards adalah pemain yang bertugas mencetak gol dan membobol pertahanan lawan dibutuhkan kelincahan kecepatan akurasi tembakan yang baik,penjaga gawang pemain belakang gelandang penyerang pemain penjaga,0.28,analisis_essay-17,0.46512425,0.39424384,0.30005324,-0.12804058,0.36974475,0.14912033
Sebutkan dan jelaskan secara singkat 4 jenis pemain yang ada dalam sepak bola. ,goal keeper penjaga gawang merupakan pemain sepak bola untuk menangkap membendung bola sebelum masuk ke gawang defender bertugas untuk melindungi kiper saat lawan menguasai bola mencegah serangan lawan dan memblok tembakan pemain lawan gelandang adalah pemain yang membawa bola hingga ke depan saat melakukan serangan dan mencegah serangan lawan sampai ke daerah pertahanan peyerang forwards adalah pemain yang bertugas mencetak gol dan membobol pertahanan lawan dibutuhkan kelincahan kecepatan akurasi tembakan yang baik,kiper adalah penjaga gawang striker adalah pemain menyerang gelandang adalah pemain tengah pemain bertahan adalah pemain di depan kiper,0.48,analisis_essay-17,0.525309,0.60355055,0.47494948,-0.26372752,0.4800575,0.10311384
Sebutkan dan jelaskan secara singkat 4 jenis pemain yang ada dalam sepak bola. ,goal keeper penjaga gawang merupakan pemain sepak bola untuk menangkap membendung bola sebelum masuk ke gawang defender bertugas untuk melindungi kiper saat lawan menguasai bola mencegah serangan lawan dan memblok tembakan pemain lawan gelandang adalah pemain yang membawa bola hingga ke depan saat melakukan serangan dan mencegah serangan lawan sampai ke daerah pertahanan peyerang forwards adalah pemain yang bertugas mencetak gol dan membobol pertahanan lawan dibutuhkan kelincahan kecepatan akurasi tembakan yang baik,gelandang bertahan atau disebut juga tukang angkut air memiliki fungsi menjadi pembangun serangan pertama perusak permainan lawan dan pemain pertama yang menghadang serangan balik gelendang tengah atau disebut pemain tengah gelandang bertugas menjaga sektor tengah permainan mengatur ritme permainan dan kadang kadang membantu juga pertahanan baik di tengah maupun sayap gelandang sayap atau yang disebut pemain sayap bertugas untuk memberikan dukungan serangan dari sektor sayap dan bertahan sewaktu waktu apabila timnya diserang oleh lawan,0.46,analisis_essay-17,0.6362382,0.45319113,0.57229215,-0.108377896,0.48581436,0.06130384
Sebutkan dan jelaskan secara singkat 4 jenis pemain yang ada dalam sepak bola. ,goal keeper penjaga gawang merupakan pemain sepak bola untuk menangkap membendung bola sebelum masuk ke gawang defender bertugas untuk melindungi kiper saat lawan menguasai bola mencegah serangan lawan dan memblok tembakan pemain lawan gelandang adalah pemain yang membawa bola hingga ke depan saat melakukan serangan dan mencegah serangan lawan sampai ke daerah pertahanan peyerang forwards adalah pemain yang bertugas mencetak gol dan membobol pertahanan lawan dibutuhkan kelincahan kecepatan akurasi tembakan yang baik,keras lunak semangat lemas,0.0,analisis_essay-17,0.23914222,-0.120544605,0.053211235,-0.05122555,0.112121955,0.10866337
Sebutkan dan jelaskan secara singkat 4 jenis pemain yang ada dalam sepak bola. ,goal keeper penjaga gawang merupakan pemain sepak bola untuk menangkap membendung bola sebelum masuk ke gawang defender bertugas untuk melindungi kiper saat lawan menguasai bola mencegah serangan lawan dan memblok tembakan pemain lawan gelandang adalah pemain yang membawa bola hingga ke depan saat melakukan serangan dan mencegah serangan lawan sampai ke daerah pertahanan peyerang forwards adalah pemain yang bertugas mencetak gol dan membobol pertahanan lawan dibutuhkan kelincahan kecepatan akurasi tembakan yang baik,penjaga gawang bertugas menghalau bola untuk masuk ke gawang bek bertugas membantu penjaga gawang gelandang posisinya berada diantara bek dan penyerang penyerang bertugas mencetak gol di gawang lawan,0.7,analisis_essay-17,0.5758741,0.6271154,0.51366425,-0.30922145,0.5465938,0.13254839
Apa saja yang harus diperhatikan saat memilih kolam renang yang baik? (Sebutkan minimal 3) ,kualitas air pilih air yang bersih dan tidak berbau peralatan keselamatan yang ada bentuk dan kedalaman kolam renang memperhatikan pengguna kolam renang pilih yang tidak berbaur antara pria dan wanita,pastikan bahwa kolam renang umum tersebut mempunyai jaminan kualitas maksudnya kolam renan umum tersebut memiliki jadwal perawatan yang baik serta kualitas fasilitas yang begitu diperhatikan baik didalam maupun di luar kolam renang pastikan bahwa kolam ranang umum tersebut memiliki beberapa pilihan kolam renang sehingga para pengunjung dapat memilih yang paling tepat untuk anak anak dewasa dan juga remaja tambahan fasilitas seperti seluncur ban pelampung dan berbagai faslitas menyenangkan lainnya dapay menjadi pertimbangan untuk memilih kolam renang umum tersebut sebagai tujuan wisata libuan agar keluarga anda dapat merasakan hiburan disana restauran dan cafetaria juga bisa menjadi salah satu faktor penentu apakah sebuah objek wisata akan dipilih dan dikunjungi banyak orang atau tidak,0.46,analisis_essay-18,0.4362672,0.4803515,0.32516494,-0.306516,0.42677924,0.118002184
Apa saja yang harus diperhatikan saat memilih kolam renang yang baik? (Sebutkan minimal 3) ,kualitas air pilih air yang bersih dan tidak berbau peralatan keselamatan yang ada bentuk dan kedalaman kolam renang memperhatikan pengguna kolam renang pilih yang tidak berbaur antara pria dan wanita,kadar air kebersihan kolam renang kenyamanan kolan renang jarak kolam renang,0.43,analisis_essay-18,0.45060533,0.47271073,0.50408155,0.07113812,0.5539043,0.17702878
Apa saja yang harus diperhatikan saat memilih kolam renang yang baik? (Sebutkan minimal 3) ,kualitas air pilih air yang bersih dan tidak berbau peralatan keselamatan yang ada bentuk dan kedalaman kolam renang memperhatikan pengguna kolam renang pilih yang tidak berbaur antara pria dan wanita,bersih tidak banyak mengandung kaporit sesuai dengan tinggi badan atau tidak terlalu dalam memiliki sirkulasi air yang baik,0.52,analisis_essay-18,0.45639837,0.27471322,0.47267032,-0.015277199,0.44817767,0.12467832
Apa saja yang harus diperhatikan saat memilih kolam renang yang baik? (Sebutkan minimal 3) ,kualitas air pilih air yang bersih dan tidak berbau peralatan keselamatan yang ada bentuk dan kedalaman kolam renang memperhatikan pengguna kolam renang pilih yang tidak berbaur antara pria dan wanita,kedalaman kolam renang air yang digunakan kebersihan kolam renang kualitas air vasilitas kolam renang harga tiket masuk,0.55,analisis_essay-18,0.63449824,0.54370266,0.5677819,0.20573473,0.63690245,0.14456502
Apa saja yang harus diperhatikan saat memilih kolam renang yang baik? (Sebutkan minimal 3) ,kualitas air pilih air yang bersih dan tidak berbau peralatan keselamatan yang ada bentuk dan kedalaman kolam renang memperhatikan pengguna kolam renang pilih yang tidak berbaur antara pria dan wanita,air tidak keruh tidak berlumut sesuaikan kemampuan renang denfgan kedalaman,0.49,analisis_essay-18,0.49320912,0.27664256,0.42599374,0.0037297383,0.51967984,0.12838203
Apa saja yang harus diperhatikan saat memilih kolam renang yang baik? (Sebutkan minimal 3) ,kualitas air pilih air yang bersih dan tidak berbau peralatan keselamatan yang ada bentuk dan kedalaman kolam renang memperhatikan pengguna kolam renang pilih yang tidak berbaur antara pria dan wanita,ada penjaga tidak keruh ada penanda kedalaman,0.33,analisis_essay-18,0.34003454,0.05526513,0.38068336,0.07509946,0.39222386,0.11378964
Sebutkan 5 partai yang biasa dilombakan dalam bulu tangkis. ,tunggal putra tunggal putri ganda putra ganda putri ganda campuran,ganda campuran tunggal putra tunggal putri ganda putri ganda putra,1.0,analisis_essay-19,0.9952855,0.90304625,0.9706844,-0.8848926,0.9639372,0.10465684
Sebutkan 5 partai yang biasa dilombakan dalam bulu tangkis. ,tunggal putra tunggal putri ganda putra ganda putri ganda campuran,1 tunggal putra pada partai tunggal putra di mainakan oleh dua tim putra yang masing masing memiliki daerah pertahanan seorang pria akan bertanding melawan pria lainnya beberapa pemain tunggal putra yang berprestasi di antaranya rudy hartono liem swie king alan budikusuma haryanto arbi dan taufik hidayat 2 tunggal putri nomor ini di pertandingkan oleh dua orang wanita yang saling berhadapan satu sama lain salah satu pemain tunggal putrid yang melegenda dan pernah berjaya di indonesia adalah susi susanti 3 ganda putra ganda putra merupakan nomor atau partai berpasangan yang dimainkan oleh dua orang pria akan berhadapan dengan dua pria pada tim yang lainnya jadi dalam nomor ganda akan ada empat orang yang bermain di lapangan partai ganda putra merupakan salah satu partai yang andalan bagi indonesia tidak seperti partai tunggal partai ganda selalu dijadikan sebagai tumpuan harapan di setiap turnamen bulutangkis beberapa pemain ganda putra dari indonesai yang berprestasi di antaranya ada rexy mainaky dan ricky subagja untuk saat ini partai ganda putra indonesia yang masih bertahan sebagai juara dunia adalah pasangan dalah hendra setiawan dan muhammad ahsan 4 ganda putri partai ganda putri di mainkan berpasangan oleh dua orang wanita melawan dua wanita dari tim lainnya indonesia memang tidak begitu menonjol pada nomor ini akan tetapi indonesia memiliki beberapa pemain ganda purti yang cukup di takuti lawan seperti lilyana natsir dan vita marissa untuk saat ini paratai ganda putri terbaik yang dimiliki indonesia adalah pasangan greysia poli dan nitya krishinda 5 ganda campuran partai ini dimainkan secara berpasangan oleh seorang wanita dan pria untuk melawan pasangan pria dan wanita alam tim lainnya untuk pasangan ganda campuran terbaik yang pernah dimiliki indonesia adalah pasangan christian hadinata dan ivana lie sementara saat ini pemain ganda campuran terbaik adalah tantowi ahmad dan lilyana natsir yang berada di peringkat 4 dunia,0.68,analisis_essay-19,0.62765217,0.44468728,0.6385903,0.344388,0.6854404,0.15249607
Sebutkan 5 partai yang biasa dilombakan dalam bulu tangkis. ,tunggal putra tunggal putri ganda putra ganda putri ganda campuran,indonesia open series singapura open series thomas cup uber cup pb jarum,0.0,analisis_essay-19,0.10475497,0.044341356,0.04300987,-0.33453098,0.09110446,0.08643352
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,vitamin,0.0,analisis_essay-2,0.035236213,0.10004021,0.06496226,-0.06307265,0.071740665,0.13982666
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,menghilangkan komedo memutihkan kulit mencerahkan kulit obat,0.23,analisis_essay-2,0.20279759,0.07396741,0.24639006,0.25334394,0.22449131,0.071343295
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,sumber protein sumber kalsium menambah energi membantu meningkatkan daya ingat,0.27,analisis_essay-2,0.14023688,0.24425799,0.18463753,0.24386972,0.1970607,0.14812079
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,sebagai sumber protein penambah daya tahan tumbuh,0.21,analisis_essay-2,0.1003509,0.24894193,0.14295761,0.21754593,0.15150446,0.13292104
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,telur mengandung sangat banyak nutrisi telur menyediakan proten berkualitas tinggi telur baik untuk kesehatan mata telur mengandung kolin baik untuk kesehatan perkembangan otak telur tidak meningkatkan kolesterol dalam tubuh telur meningkatkan level hdl dalam tubuh telur membantu menurunkan berat badan telur baik untuk melindungi tulang telur baik untuk rambut dan kuku,0.55,analisis_essay-2,0.48980957,0.5450743,0.44607854,0.24001014,0.40876144,0.103943236
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,memberi tenaga menjaga metabolisme membuat kenyang sumber vitamin,0.12,analisis_essay-2,0.203586,0.24693754,0.20826198,0.40473908,0.19230396,0.112132825
"Apa yang dimaksud dengan parkour? (pengertian, dan tempat-tempat biasa melakukan parkour) ",parkour adalah aktivitas atau olahraga yang dilakukan oleh sesorang atau kelompok tertentu untuk berpindah dari satu tempat ke tempat lainnya dengan efisien dan cepat menggunakan kemampuan yang ada pada manusia berlari lompat menggantung parkour biasanya dilakukan di atas gedung bangunan penuh halangan bertembok pohon dan daerah berbatu,parkour adalah jenis olahraga berlari dan melomp at diantara gedung gedung tinggi yang mengandalkan kecepatan kaki dan kekuatan tangan tempatnya biasanya diatas gedung apartemen atap rumah pohon pohon,0.51,analisis_essay-20,0.68083143,0.6311749,0.5093022,-0.27093142,0.53045833,0.12308214
"Apa yang dimaksud dengan parkour? (pengertian, dan tempat-tempat biasa melakukan parkour) ",parkour adalah aktivitas atau olahraga yang dilakukan oleh sesorang atau kelompok tertentu untuk berpindah dari satu tempat ke tempat lainnya dengan efisien dan cepat menggunakan kemampuan yang ada pada manusia berlari lompat menggantung parkour biasanya dilakukan di atas gedung bangunan penuh halangan bertembok pohon dan daerah berbatu,parkour baca paar kuur kadang kadang disingkat pk atau l art du deplacement seni gerak adalah aktivitas yang bertujuan untuk berpindah dari satu tempat ke tempat lainnya dengan efisien dan secepat cepatnya menggunakan prinsip kemampuan badan manusia itu berarti untuk menolong seseorang melintasi rintangan yang bisa berupa apa saja di sekitar lingkungan dari cabang cabang pohon dan batu batuan hingga pegangan tangan dan tembok beton yang bisa dilatih di desa dan di kota,0.51,analisis_essay-20,0.5843835,0.62044257,0.52808833,0.013222881,0.43923858,0.11927629
"Apa yang dimaksud dengan parkour? (pengertian, dan tempat-tempat biasa melakukan parkour) ",parkour adalah aktivitas atau olahraga yang dilakukan oleh sesorang atau kelompok tertentu untuk berpindah dari satu tempat ke tempat lainnya dengan efisien dan cepat menggunakan kemampuan yang ada pada manusia berlari lompat menggantung parkour biasanya dilakukan di atas gedung bangunan penuh halangan bertembok pohon dan daerah berbatu,parkour adalah aktivitas dengan tujuan berpindah dari satu tempat ke tempat lain dengan cepat dan efisien menggunakan prinsip kemampuan badan manusia,0.48,analisis_essay-20,0.5463158,0.5867167,0.4703876,-0.2607355,0.4454867,0.089156866
"Apa yang dimaksud dengan parkour? (pengertian, dan tempat-tempat biasa melakukan parkour) ",parkour adalah aktivitas atau olahraga yang dilakukan oleh sesorang atau kelompok tertentu untuk berpindah dari satu tempat ke tempat lainnya dengan efisien dan cepat menggunakan kemampuan yang ada pada manusia berlari lompat menggantung parkour biasanya dilakukan di atas gedung bangunan penuh halangan bertembok pohon dan daerah berbatu,parkour adalah seni olahraga melompat biasanya bisa dilakukan parkour di gedung gedung jalan jembatan dan lain lain,0.47,analisis_essay-20,0.5334683,0.5181637,0.45402867,-0.27135107,0.44359457,0.14600414
"Apa yang dimaksud dengan parkour? (pengertian, dan tempat-tempat biasa melakukan parkour) ",parkour adalah aktivitas atau olahraga yang dilakukan oleh sesorang atau kelompok tertentu untuk berpindah dari satu tempat ke tempat lainnya dengan efisien dan cepat menggunakan kemampuan yang ada pada manusia berlari lompat menggantung parkour biasanya dilakukan di atas gedung bangunan penuh halangan bertembok pohon dan daerah berbatu,pakour adalah olahraga serba guna yang akan membantu anda bergerak memanjat meloncat dan anda tidak akan terus terhalang akan tembok atau rintangan yang menghalau anda untuk maju ke depan yang saya tahu dimana saja bisa terkadang bisa juga di atas gedung,0.4,analisis_essay-20,0.36707374,0.39382708,0.44708443,-0.18879968,0.44455507,0.12011247
"Jelaskan fungsi partai politik, berkaitan dengan kekuasaan pemerintahan. (Usahakan jawab dalam 2-4 kalimat) ",partai politik sebagai organisasi resmi untuk menyalurkan aspirasi masyarakat partai politik memiliki kekuatan politik serta ikut menentukan proses pembentukan kekuasaan pemerintah secara legal diakui hukum juga mempunyai hak beraktifitas merebut dan mempertahankan kekuasaan politik,sebagai tiang penegak negera,0.07,analisis_essay-21,0.13130748,-0.024872143,0.07609779,0.01470381,0.057305194,0.13614047
"Jelaskan fungsi partai politik, berkaitan dengan kekuasaan pemerintahan. (Usahakan jawab dalam 2-4 kalimat) ",partai politik sebagai organisasi resmi untuk menyalurkan aspirasi masyarakat partai politik memiliki kekuatan politik serta ikut menentukan proses pembentukan kekuasaan pemerintah secara legal diakui hukum juga mempunyai hak beraktifitas merebut dan mempertahankan kekuasaan politik,fungsi paratai politik untuk membantu pemerintahan dalam melakukan tugas tugasnya,0.27,analisis_essay-21,0.2776425,0.29008213,0.2344016,0.13602394,0.21471833,0.118005656
"Jelaskan fungsi partai politik, berkaitan dengan kekuasaan pemerintahan. (Usahakan jawab dalam 2-4 kalimat) ",partai politik sebagai organisasi resmi untuk menyalurkan aspirasi masyarakat partai politik memiliki kekuatan politik serta ikut menentukan proses pembentukan kekuasaan pemerintah secara legal diakui hukum juga mempunyai hak beraktifitas merebut dan mempertahankan kekuasaan politik,fungsi partai politik sebagai wadah bagi masyarakat yang ingin mencalonkan diri sebagai wakil rakyat dan jika telah terpilih ia akan menjadi wakil dari masyarakat untuk mengutarakan aspirasi yang ada,0.44,analisis_essay-21,0.38334656,0.44710022,0.3509224,-0.05775868,0.32457042,0.1120925
"Jelaskan fungsi partai politik, berkaitan dengan kekuasaan pemerintahan. (Usahakan jawab dalam 2-4 kalimat) ",partai politik sebagai organisasi resmi untuk menyalurkan aspirasi masyarakat partai politik memiliki kekuatan politik serta ikut menentukan proses pembentukan kekuasaan pemerintah secara legal diakui hukum juga mempunyai hak beraktifitas merebut dan mempertahankan kekuasaan politik,tidak ada fungsinya karena asal orang bekerja dengan jujur pasti fungsi negara akan berjalan dengan baik,0.08,analisis_essay-21,0.1937983,-0.01629926,0.07169811,-0.1216901,0.096809946,0.14156815
"Jelaskan fungsi partai politik, berkaitan dengan kekuasaan pemerintahan. (Usahakan jawab dalam 2-4 kalimat) ",partai politik sebagai organisasi resmi untuk menyalurkan aspirasi masyarakat partai politik memiliki kekuatan politik serta ikut menentukan proses pembentukan kekuasaan pemerintah secara legal diakui hukum juga mempunyai hak beraktifitas merebut dan mempertahankan kekuasaan politik,partai politik sebagai jembatan untuk seseorang memasuki pemerintahan dan sebagai tiang pemerintahan,0.19,analisis_essay-21,0.37850234,0.3897957,0.22277503,-0.14550427,0.23381756,0.1260477
"Jelaskan fungsi partai politik, berkaitan dengan kekuasaan pemerintahan. (Usahakan jawab dalam 2-4 kalimat) ",partai politik sebagai organisasi resmi untuk menyalurkan aspirasi masyarakat partai politik memiliki kekuatan politik serta ikut menentukan proses pembentukan kekuasaan pemerintah secara legal diakui hukum juga mempunyai hak beraktifitas merebut dan mempertahankan kekuasaan politik,partai politik sebagai lahan mencari kekuasaan terkadang juga digunakan untuk memperkaya dirinya sendiri partai politik hanya sekitar 40 yang memang serius ingin mensejahterakan masyarakat tetapi jika sudah berhasil para politikus sudah lupa akan janji yang sudah mereka berikan kepada masyarakat,0.55,analisis_essay-21,0.35316086,0.42242178,0.36437047,-0.08686481,0.40142217,0.16426033
Tuliskan isi teks asli proklamasi dengan ejaan yang telah disempurnakan. ,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan d l l diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya jakarta 17 8 05 wakil wakil bangsa indonesia,proklamasi kami bangsa indonesia dengan ini menyatakaan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dan lain lain diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya jakarta 17 agustus 1995 soekarno hatta,0.76,analisis_essay-22,0.8138783,0.73072755,0.843212,-0.27310106,0.81937003,0.14468443
Tuliskan isi teks asli proklamasi dengan ejaan yang telah disempurnakan. ,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan d l l diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya jakarta 17 8 05 wakil wakil bangsa indonesia,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dll diselenggarakan dalam dengan cara seksama dan dalam tempo sesingkat singkat nya jakarta hari 17 bulan 08 tahun 05 atas nama bangsa indonesia soekarno hatta,0.78,analisis_essay-22,0.8512615,0.83486164,0.8366206,-0.305148,0.82732695,0.12390629
Tuliskan isi teks asli proklamasi dengan ejaan yang telah disempurnakan. ,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan d l l diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya jakarta 17 8 05 wakil wakil bangsa indonesia,kami bangsa indonesia dengan ini menyatakan kemerdekaannya hal hal yang mengenai pemindahan kekuasaan dan lain lain di selenggarakan dengan cara seksama dan dengan tempo yang sesingkat singkatnya,0.72,analisis_essay-22,0.73090315,0.7126589,0.69577724,-0.5383966,0.643573,0.10367829
Tuliskan isi teks asli proklamasi dengan ejaan yang telah disempurnakan. ,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan d l l diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya jakarta 17 8 05 wakil wakil bangsa indonesia,kami segenap bangsa indonesia menyatakan kemerdekaan,0.23,analisis_essay-22,0.24969125,0.5813048,0.19123009,-0.32198343,0.19216666,0.105319165
Tuliskan isi teks asli proklamasi dengan ejaan yang telah disempurnakan. ,proklamasi kami bangsa indonesia dengan ini menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan d l l diselenggarakan dengan cara seksama dan dalam tempo yang sesingkat singkatnya jakarta 17 8 05 wakil wakil bangsa indonesia,proklamasi kami bangsa indonesia menyatakan kemerdekaan indonesia hal hal yang mengenai pemindahan kekuasaan dengan seksama dalam toempo yang sesingkat singkatnnya,0.75,analisis_essay-22,0.70597017,0.7770636,0.6123892,-0.670202,0.6094162,0.11198
"Apa yang anda ketahui mengenai kerajaan Majapahit? (Mengenai tempat, masa puncak kejayaan dan agama. Usahakan jawab dalam 2-4 kalimat) ",majapahit adalah sebuah kerajaan yang berpusat di jawa timur indonesia kerajaan ini mencapai puncak kejayaannya dan menguasai wilayah di nusantara pada masa kekuasaan hayam wuruk kerajaan majapahit merupakan kerajaan hindu budha terbesar dalam sejarah indonesia,kerajaan majapahit berada di pulau jawa,0.22,analisis_essay-23,0.10624479,0.2705308,0.1457137,-0.103446014,0.177559,0.13789287
